# raw data taken from Too Close to Call https://docs.google.com/file/d/0B9hKZEGlI3lXLUx5eDBhRzJDYVU/view?sle=true

Comté 	  PLQ   	 PQ	  CAQ   	 PV	  QS  	  ON
Soulanges	   34.8	 34.0	 23.7	 3.4	  4.1	 0.0
Taillon	 21.4	 43.2	 24.4	 4.1	  6.8	 0.0
Taschereau	  24.6	 39.5	 21.3	 4.8	  9.8	 0.0
Terrebonne	  15.6	 43.3	 31.6	 3.7	  5.8	 0.0
Trois-Rivières	  30.3	 33.8	 27.7	 2.1	  6.1	 0.0
Ungava	  28.5	 46.2	 17.8	 0.2	  7.3	 0.0
Vachon	  11.8	 56.7	 20.2	 3.8	  7.5	 0.0
Vanier-Les Rivières	 28.5	 23.4	 40.4	 0.4	  7.2	 0.0
Vaudreuil	   43.2	 27.0	 21.6	 4.3	  3.9	 0.0
Verchères	   13.3	 49.1	 28.5	 3.4	  5.6	 0.0
Verdun	  38.4	 34.6	 14.2	 5.7	  7.1	 0.0
Viau	49.5	 24.3	 14.6	 4.3	  7.4	 0.0
Vimont	  38.0	 31.8	 22.6	 1.5	  6.1	 0.0
Westmount-Saint-Louis	   65.7	 8.5	  11.7	 8.4	  5.7	 0.0
